Sno,Title,Bed,Bath,Price,Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Internet,Garden / Patio / Balcony,Microwave,Gym,Pets Allowed
44,"Shackleton Glebe, Shackleton Glebe, Lucan, Co. Dublin",1 Bed,1 Bath,"€1,971 per month",0,0,0,0,0,0,0,0,0,0
45,"Marietta Woods, Castle Park Road, Dalkey, Co. Dublin",1 Bed,1 Bath,"€2,379 per month",1,1,1,1,1,1,1,1,1,1
46,"Jameson Orchard, Jameson Orchard Road, Malahide, Co. Dublin",3 Bed,2 Bath,"€2,695 per month",1,0,0,0,0,0,0,0,0,0
47,"The Grange Residence , Brewery Road, Stillorgan, Co. Dublin",1 Bed,1 Bath,"€2,199 per month",1,1,1,1,1,1,1,1,1,1
48,"Tara View , Merrion Road, Ballsbridge, Dublin 4, Dublin 4",2 Bed,2 Bath,"€3,100 per month",1,0,0,0,0,0,1,0,0,0
49,"Alto Frascati, Frascati Road, Blackrock, Co. Dublin",2 Bed,2 Bath,"€3,000 per month",0,0,0,0,0,0,0,0,0,0
50,"Barnoaks, The Green, Citywest, Co. Dublin",1 Bed,1 Bath,"€1,900 per month",0,1,1,1,0,0,1,1,0,1
51,"Elmfield by havitat, Ballyogan Road, Leopardstown, Dublin 18",2 Bed,2 Bath,"€2,353 per month",1,1,1,0,1,0,1,1,0,0
52,"Sandford Lodge, Sandford Lodge, Ranelagh, Dublin 6, Ranelagh, Dublin 6",2 Bed,2 Bath,"€3,825 per month",0,0,1,0,1,0,1,1,1,0
53,"The Cornerstone, Lower Kilmacud Road, Stillorgan, Co. Dublin",1 Bed,1 Bath,"€2,250 per month",1,1,1,1,1,0,1,1,1,1
54,"Westfield, Leixlip, Westfield, Green Lane, Leixlip, Co. Kildare",3 Bed,2 Bath,"€1,668 per month",1,1,1,1,1,0,1,1,0,0
55,"The Residence 1BQ, Bishops Quay , Limerick City Centre",1 Bed,1 Bath,"€2,750 per month",0,1,1,1,1,0,1,1,0,0
56,"The Oslo , Sandyford Central , Sandyford, Dublin 18",1 Bed,1 Bath,"€2,120 per month",0,0,0,0,0,0,0,0,0,0
57,"Island Key, East Road, Dublin 3",1 Bed,1 Bath,"€1,844 per month",1,1,1,1,1,1,1,1,0,0
58,"Shackleton Mill, Shackleton , Lucan, Co. Dublin",1 Bed,1 Bath,"€1,954 per month",0,0,0,0,0,0,0,0,0,0
59,"Mount Argus Apartments, Mount Argus Road, Harold's Cross, Dublin 6W",2 Bed,2 Bath,"€2,839 per month",1,1,1,1,1,0,1,1,1,1
60,"St. Marnocks Bay, Portmarnock, Portmarnock, Co. Dublin",3 Bed,2 Bath,"€2,737 per month",1,0,1,1,1,0,0,1,0,0
61,"Griffin Point, Hole in The Wall Road, Dublin 13",1 Bed,1 Bath,"€1,326 per month",1,1,1,1,1,0,1,1,0,0
62,"Opus, 6 Hanover Quay, Grand Canal Dock, Dublin 2",3 Bed,3 Bath,"€4,219 per month",1,1,1,1,1,1,1,1,1,1
63,"Marina Village, Marina Village Greystones, Greystones, Co. Wicklow",2 Bed,2 Bath,"€2,697 per month",1,1,1,1,1,1,1,1,0,1
64,"Whitehaven, Northwood, Santry, Northwood Avenue, Santry, Dublin 9",1 Bed,1 Bath,"€1,395 per month",0,0,0,0,0,0,0,0,0,0
65,"The Granary, Swords, Swords, Co. Dublin",3 Bed,2 Bath,"€1,654 per month",1,1,1,1,1,0,1,1,0,0
66,"U Clay Farm, Clay Farm Leopardstown, Leopardstown, Dublin 18",1 Bed,1 Bath,"€2,177 per month",1,1,1,1,1,1,1,1,0,0
67,"Mespil Estate, Sussex Road, Dublin 4",1 Bed,1 Bath,"€1,995 per month",1,0,1,1,0,1,0,1,0,0
