feature,importance
Bath,0.2648710027090265
Bed,0.16340519549919114
Dishwasher,0.05029464060642364
Microwave,0.034036594538706264
Garden / Patio / Balcony,0.03366147934884625
Parking,0.030172097604964702
Dryer,0.029181943542111222
Internet,0.024461577516391015
Central Heating,0.016062039846351045
Pets Allowed,0.012492784594145106
Washing Machine,0.011285161505235217
Gym,0.0006728845756711727
