53,"Sandford Lodge, Sandford Lodge, Ranelagh, Dublin 6, Ranelagh, Dublin 6",2 Bed,2 Bath,"€3,825 per month"
54,"Westfield, Leixlip, Westfield, Green Lane, Leixlip, Co. Kildare",3 Bed,2 Bath,"€1,668 per month"
55,"The Residence 1BQ, Bishops Quay , Limerick City Centre",1 Bed,1 Bath,"€2,750 per month"
56,"The Oslo , Sandyford Central , Sandyford, Dublin 18",1 Bed,1 Bath,"€2,120 per month"
57,"Island Key, East Road, Dublin 3",1 Bed,1 Bath,"€1,844 per month"
58,"Shackleton Mill, Shackleton , Lucan, Co. Dublin",1 Bed,1 Bath,"€1,954 per month"
59,"Mount Argus Apartments, Mount Argus Road, Harold's Cross, Dublin 6W",2 Bed,2 Bath,"€2,839 per month"
60,"St. Marnocks Bay, Portmarnock, Portmarnock, Co. Dublin",3 Bed,2 Bath,"€2,737 per month"
61,"Griffin Point, Hole in The Wall Road, Dublin 13",1 Bed,1 Bath,"€1,326 per month"
62,"Opus, 6 Hanover Quay, Grand Canal Dock, Dublin 2",3 Bed,3 Bath,"€4,219 per month"
63,"Marina Village, Marina Village Greystones, Greystones, Co. Wicklow",2 Bed,2 Bath,"€2,697 per month"
64,"Whitehaven, Northwood, Santry, Northwood Avenue, Santry, Dublin 9",1 Bed,1 Bath,"€1,395 per month"
65,"The Granary, Swords, Swords, Co. Dublin",3 Bed,2 Bath,"€1,654 per month"
66,"U Drogheda, Bryanstown, Beanmore Rd, Drogheda, Co. Meath",2 Bed,2 Bath,"€1,950 per month"
67,"U Clay Farm, Clay Farm Leopardstown, Leopardstown, Dublin 18",1 Bed,1 Bath,"€2,177 per month"
68,"U Clonsilla, Windmill Lodge, Dublin 15",1 Bed,1 Bath,"€1,950 per month"
69,"Mespil Estate, Sussex Road, Dublin 4",1 Bed,1 Bath,"€1,995 per month"
70,"U HX, Harolds Cross Road, Dublin 6W",1 Bed,1 Bath,"€2,250 per month"
71,"Hazelwood Accommodation, Northwood, Santry, Dublin 9",N/A,N/A,From €165 per week
72,"Montrose, Stillorgan Rd, Dublin, D04 AE48, Stillorgan, Co. Dublin",N/A,N/A,From €320 per week
73,"St. Edmunds , St Edmunds, Lucan, Co. Dublin",2 Bed,2 Bath,"€2,300 per month"
74,"Adamstown, Lucan, Lucan, Co. Dublin",1 Bed,1 Bath,"€1,979 per month"
75,"Lancaster Gate , Lancaster Gate , Western Road, Co. Cork",1 Bed,1 Bath,"€1,020 per month"
76,"The Paddocks, Morristown, Newbridge, Co. Kildare",1 Bed,1 Bath,"€1,037 per month"
77,"Longview, Longview , Ballyvolane, Co. Cork",2 Bed,1 Bath,"€1,340 per month"
78,"Knockrabo, Mount Anville Road, Goatstown, Dublin 14",2 Bed,2 Bath,"€3,556 per month"
79,"Palmers Gate, Kennelsfort Road Lower, Palmerstown, Dublin 20",2 Bed,2 Bath,"€2,375 per month"
80,"Mill Pond , Parnell Avenue , Harold's Cross, Dublin 6",2 Bed,2 Bath,"€2,650 per month"
81,"Elmville , Harolds Cross Road, Harolds Cross, Dublin 6W",1 Bed,1 Bath,"€2,370 per month"
82,"Rostrevor Place , Orwell Road , Rathgar, Dublin 6",2 Bed,2 Bath,"€3,297 per month"
83,"Hazelwood Student Village, Hazelwood Student Village, Northwood, Santry, Dublin 9",4 Bed,4 Bath,"€2,850 per month"
84,"Copely Court, Copley St, Cork City Centre",1 Bed,1 Bath,€250 per week
85,"Stoneybatter Place, Rope Walk, 20 Stoneybatter, Dublin 7, D07 NP2K, Dublin 7",N/A,N/A,€364 per week
